38 Provinsi,,,,,
,Jumlah Desa yang Memiliki Fasilitas Sekolah Menurut Provinsi dan Tingkat Pendidikan,,,,
,SD,SMP,SMU,SMK,Perguruan Tinggi
,2025,2025,2025,2025,2025
ACEH,3398,1468,753,206,113
SUMATERA UTARA,5010,2339,1170,703,201
SUMATERA BARAT,1258,816,428,181,101
RIAU,1811,1221,639,264,78
JAMBI,1487,814,397,168,42
SUMATERA SELATAN,2999,1419,732,268,105
BENGKULU,1185,494,203,93,24
LAMPUNG,2532,1447,708,403,81
KEP. BANGKA BELITUNG,391,217,87,50,15
KEP. RIAU,409,252,136,62,36
DKI JAKARTA,264,254,219,209,128
JAWA BARAT,5946,4356,2255,2051,481
JAWA TENGAH,8422,3701,1377,1185,294
DI YOGYAKARTA,437,312,151,138,66
JAWA TIMUR,8442,4961,2620,1698,465
BANTEN,1546,1259,712,540,128
BALI,713,313,145,127,43
NUSA TENGGARA BARAT,1172,940,598,291,67
NUSA TENGGARA TIMUR,3329,1720,687,346,62
KALIMANTAN BARAT,2080,1160,438,193,60
KALIMANTAN TENGAH,1546,803,280,124,23
KALIMANTAN SELATAN,1874,785,330,112,58
KALIMANTAN TIMUR,1002,560,251,153,48
KALIMANTAN UTARA,317,160,64,29,12
SULAWESI UTARA,1565,719,249,181,61
SULAWESI TENGAH,1929,972,346,167,40
SULAWESI SELATAN,2975,1800,844,331,152
SULAWESI TENGGARA,1879,916,414,155,45
GORONTALO,659,362,108,57,15
SULAWESI BARAT,632,410,172,112,24
MALUKU,1112,624,276,104,43
MALUKU UTARA,1092,630,301,143,25
PAPUA BARAT,502,150,61,18,15
PAPUA BARAT DAYA,457,170,82,35,18
PAPUA,643,239,110,44,25
PAPUA SELATAN,544,113,38,24,10
PAPUA TENGAH,421,139,47,32,21
PAPUA PEGUNUNGAN,510,160,49,17,8
INDONESIA,72490,39175,18477,11014,3233